Year,Topic,Geography,Category,Value,Unit
2015,Sanitation,South Africa,Pit latrine with ventilation pipe,16.4,%
2015,Sanitation,South Africa,Pit latrine without ventilation pipe,2198221,count
2015,Sanitation,South Africa,Pit latrine without ventilation pipe,14.4,%
2015,Water_Source,South Africa,Borehole on site,245,thousands
2015,Water_Source,South Africa,Borehole on site,1.6,%
2015,Water_Source,South Africa,Borehole outside yard,212,thousands
2015,Water_Source,South Africa,Borehole outside yard,1.4,%
2015,Water_Source,South Africa,Flowing water/stream/river,348,thousands
2015,Water_Source,South Africa,Flowing water/stream/river,2.3,%
2015,Water_Source,South Africa,Municipal Water-carrier/tanker,284,thousands
2015,Water_Source,South Africa,Municipal Water-carrier/tanker,1.9,%
2015,Water_Source,South Africa,Neighbours tap,413,thousands
2015,Water_Source,South Africa,Neighbours tap,2.7,%
2015,Water_Source,South Africa,Other,98,thousands
2015,Water_Source,South Africa,Other,0.6,%
2015,Water_Source,South Africa,Piped (tap) water in dwelling,7045,thousands
2015,Water_Source,South Africa,Piped (tap) water in dwelling,46.0,%
2015,Water_Source,South Africa,Piped (tap) water on site or in yard,4135,thousands
2015,Water_Source,South Africa,Piped (tap) water on site or in yard,27.0,%
2015,Water_Source,South Africa,Public or communal tap,2130,thousands
2015,Water_Source,South Africa,Public or communal tap,13.9,%
2015,Water_Source,South Africa,Rain-water tank on site,110,thousands
2015,Water_Source,South Africa,Rain-water tank on site,0.7,%
2015,Water_Source,South Africa,Spring,171,thousands
2015,Water_Source,South Africa,Spring,1.1,%
2015,Water_Source,South Africa,Stagnant water/dam/pool,31,thousands
2015,Water_Source,South Africa,Stagnant water/dam/pool,0.2,%
2015,Water_Source,South Africa,Water vendor,0,thousands
